iata,city,country,lat,lon
AAH,Aachen,Germany,50.823055267333984,6.186388969421387
AAL,Aalborg,Denmark,57.0927589138,9.84924316406
AAQ,Anapa,Russia,45.002101898193,37.347301483154
AAR,Aarhus,Denmark,56.2999992371,10.619000434899998
ABA,Abakan,Russia,53.7400016784668,91.38500213623047
ABC,Albacete,Spain,38.9485015869,-1.8635200262099998
ABZ,Aberdeen,United Kingdom,57.201900482177734,-2.197779893875122
ACH,Altenrhein,Switzerland,47.4850006104,9.560770034789998
ACI,Alderney,Guernsey,49.706104,-2.21472
ACS,Achinsk,Russia,56.2682991027832,90.57080078125
ADA,Adana,Turkey,36.9822006226,35.280399322499996
ADB,Izmir,Turkey,38.2924003601,27.156999588
ADF,Adiyaman,Turkey,37.7313995361,38.4688987732
ADH,Aldan,Russia,58.60279846191406,125.40899658203125
ADX,Leuchars,United Kingdom,56.37289810180664,-2.8684399127960205
AER,Sochi,Russia,43.449902,39.9566
AES,Alesund,Norway,62.5625,6.119699954986572
AFY,Afyon,Turkey,38.726398468,30.6011009216
AGB,Augsburg,Germany,48.425278,10.931667
AGE,Wangerooge,Germany,53.782779693603516,7.913888931274414
AGF,Agen,France,44.17470169067383,0.5905560255050659
AGH,Ängelholm,Sweden,56.29610061645508,12.847100257873535
AGP,Malaga,Spain,36.67490005493164,-4.499110221862793
AGQ,Agrinion,Greece,38.602001,21.3512001
AHO,Alghero,Italy,40.632099,8.29077
AJA,Ajaccio,France,41.92359924316406,8.8029203414917
AJI,Agri,Turkey,39.654541015625,43.025978088378906
AJR,Arvidsjaur,Sweden,65.59030151367188,19.28190040588379
AKT,Akrotiri,Cyprus,34.590401,32.9879
ALC,Alicante,Spain,38.28219985961914,-0.5581560134887695
ALF,Alta,Norway,69.976097106934,23.371700286865
ALL,Albenga,Italy,44.050598,8.12743
AMS,Amsterdam,Netherlands,52.308601,4.76389
AMV,Amderma,Russia,69.76329803466797,61.556400299072266
ANE,Angers/Marcé,France,47.560299,-0.312222
ANG,Angouleme,France,45.72919845581055,0.22145600616931915
ANK,Ankara,Turkey,39.949798584,32.6885986328
ANR,Antwerp,Belgium,51.1893997192,4.46027994156
ANX,Andoya,Norway,69.292503356934,16.144199371338
AOC,Altenburg,Germany,50.981945,12.506389
AOE,Eskissehir,Turkey,39.809898,30.5194
AOI,Ancona,Italy,43.616299,13.3623
AOK,Karpathos,Greece,35.4213981628418,27.145999908447266
AOT,Aosta,Italy,45.738499,7.36872
ARH,Arkhangelsk,Russia,64.60030364990234,40.71670150756836
ARN,Stockholm,Sweden,59.651901245117,17.918600082397
ARW,Arad,Romania,46.17660140991211,21.261999130249023
ASF,Astrakhan,Russia,46.2832984924,48.0063018799
ASR,Kayseri,Turkey,38.770401001,35.4953994751
ATH,Athens,Greece,37.9364013672,23.9444999695
AUF,Auxerre,France,47.85020065307617,3.497109889984131
AUR,Aurillac,France,44.89139938354492,2.4219400882720947
AVB,Aviano,Italy,46.031898,12.596503
AVN,Avignon,France,43.90729904174805,4.901830196380615
AVR,Alverca,Portugal,38.883301,-9.0301
AXD,Alexandroupolis,Greece,40.855899810791016,25.956300735473633
AYT,Antalya,Turkey,36.898701,30.800501
BAL,Batman,Turkey,37.929000854499996,41.1166000366
BAX,Barnaul,Russia,53.363800048828125,83.53849792480469
BAY,Baia Mare,Romania,47.65840148925781,23.469999313354492
BBH,Barth,Germany,54.338253,12.710515
BBJ,Birburg,Germany,49.945278,6.565
BBP,Bembridge,United Kingdom,50.6781005859,-1.10943996906
BBS,Blackbushe,United Kingdom,51.32389831542969,-0.8475000262260437
BBU,Bucharest,Romania,44.50320053100586,26.102100372314453
BCM,Bacau,Romania,46.52190017700195,26.91029930114746
BCN,Barcelona,Spain,41.2971,2.07846
BDM,Bandirma,Turkey,40.31800079345703,27.977699279785156
BDS,Brindisi,Italy,40.6576,17.947001
BDU,Bardufoss,Norway,69.055801391602,18.540399551392
BEB,Benbecula,United Kingdom,57.48109817504883,-7.3627800941467285
BEG,Belgrade,Serbia,44.8184013367,20.3090991974
BEQ,Honington,United Kingdom,52.34260177612305,0.7729390263557434
BES,Brest,France,48.447898864746094,-4.418540000915527
BEX,Benson,United Kingdom,51.616401672399995,-1.09582996368
BFE,Bielefeld,Germany,51.964722,8.544444
BFS,Belfast,United Kingdom,54.6575012207,-6.2158298492399995
BGC,Braganca,Portugal,41.8578,-6.70713
BGG,Bingol,Turkey,38.8592605591,40.5959625244
BGN,,Russia,68.556602,146.231506
BGO,Bergen,Norway,60.29339981,5.218140125
BGY,Bergamo,Italy,45.673901,9.70417
BGZ,Braga,Portugal,41.5871009827,-8.445139884949999
BHD,Belfast,United Kingdom,54.618099212646484,-5.872499942779541
BHX,Birmingham,United Kingdom,52.453899383499994,-1.74802994728
BIA,Bastia,France,42.55270004272461,9.48373031616211
BIO,Bilbao,Spain,43.30110168457031,-2.9106099605560303
BIQ,Biarritz-bayonne,France,43.4683333,-1.5311111
BJF,Batsfjord,Norway,70.60050201416,29.691400527954
BJV,Bodrum,Turkey,37.25059890749999,27.6643009186
BJZ,Badajoz,Spain,38.891300201416016,-6.8213300704956055
BKA,Moscow,Russia,55.6171989441,38.0600013733
BLE,Borlange,Sweden,60.422000885009766,15.515199661254883
BLK,Blackpool,United Kingdom,53.77170181274414,-3.0286099910736084
BLL,Billund,Denmark,55.7402992249,9.15178012848
BLQ,Bologna,Italy,44.5354,11.2887
BMA,Stockholm,Sweden,59.354400634765625,17.941699981689453
BMK,Borkum,Germany,53.59639,6.709167
BNN,Bronnoysund,Norway,65.461097717285,12.217499732971
BNX,Banja Luka,Bosnia and Herzegovina,44.94139862060547,17.297500610351562
BOD,Bordeaux,France,44.828300476100004,-0.715556025505
BOH,Bournemouth,United Kingdom,50.779998779296875,-1.8424999713897705
BOJ,Bourgas,Bulgaria,42.56959915161133,27.515199661254883
BOO,Bodo,Norway,67.26920318603516,14.365300178527832
BOR,Belfort,France,47.655601501465,7.0108299255371
BOU,Bourges,France,47.058101654052734,2.3702800273895264
BQG,Bogorodskoe,Russia,52.38,140.448
BQH,Biggin Hill,United Kingdom,51.33079910279999,0.0324999988079
BQJ,Batagay,Russia,67.648002624512,134.69500732422
BQS,Blagoveschensk,Russia,50.42539978027344,127.41200256347656
BQT,Brest,Belarus,52.108299,23.8981
BRE,Bremen,Germany,53.0475006104,8.78666973114
BRI,Bari,Italy,41.138901,16.760599
BRN,Bern,Switzerland,46.914100647,7.497149944309999
BRQ,Brno,Czech Republic,49.15129852294922,16.694400787353516
BRR,Barra,United Kingdom,57.0228,-7.44306
BRS,Bristol,United Kingdom,51.382702,-2.71909
BRU,Brussels,Belgium,50.901401519800004,4.48443984985
BRV,Bremerhaven,Germany,53.506943,8.572778
BSL,Mulhouse,France,47.59,7.5291667
BTK,Bratsk,Russia,56.370601654052734,101.697998046875
BTS,Bratislava,Slovakia,48.17020034790039,17.21269989013672
BTZ,Bursa,Turkey,40.233299255371094,29.009199142456055
BUD,Budapest,Hungary,47.42976,19.261093
BVA,Beauvais,France,49.45439910888672,2.1127800941467285
BVE,Brive,France,45.039722,1.485556
BVG,Berlevag,Norway,70.871399,29.034201
BWE,Braunschweig,Germany,52.319199,10.5561
BWF,Barrow Island,United Kingdom,54.1286111,-3.2675
BWK,Brac,Croatia,43.285701751708984,16.67970085144043
BWO,Balakovo,Russia,51.8582992554,47.7456016541
BXN,Bodrum,Turkey,37.140098571777344,27.669700622558594
BXO,Buochs,Switzerland,46.974444,8.396944
BYF,Albert,France,49.9715003967,2.69765996933
BYJ,Beja (madeira),Portugal,38.078899,-7.9324
BYR,Laeso,Denmark,57.277198791503906,11.000100135803223
BYT,Bantry,Ireland,51.66859817504883,-9.484169960021973
BYU,Bayreuth,Germany,49.985001,11.64
BZG,Bydgoszcz,Poland,53.096801757799994,17.9776992798
BZI,Balikesir,Turkey,39.619300842285156,27.926000595092773
BZK,Bryansk,Russia,53.214199,34.176399
BZO,Bolzano,Italy,46.460201,11.3264
BZR,Beziers,France,43.32350158691406,3.3538999557495117
BZY,Saltsy,Moldova,47.843056,27.777222
BZZ,Brize Norton,United Kingdom,51.75,-1.58362
CAG,Cagliari,Italy,39.251499,9.05428
CAL,Campbeltown,United Kingdom,55.437198638916016,-5.686389923095703
CAT,Cascais,Portugal,38.724998,-9.35523
CAX,Carlisle,United Kingdom,54.9375,-2.8091700077056885
CBG,Cambridge,United Kingdom,52.205002,0.175
CBU,Cottbus,Germany,51.889442,14.531944
CCF,Carcassonne,France,43.215999603271484,2.3063199520111084
CDG,Paris,France,49.012798,2.55
CEE,Cherepovets,Russia,59.273601532,38.015800476100004
CEG,Hawarden,United Kingdom,53.1781005859375,-2.9777801036834717
CEJ,Chernigov,Ukraine,51.4021987915,31.1583003998
CEK,Chelyabinsk,Russia,55.305801,61.5033
CEQ,Cannes,France,43.542,6.95348
CER,Cherbourg,France,49.65010070800781,-1.4702800512313843
CET,Cholet,France,47.08209991455078,-0.8770639896392822
CFE,Clermont-Ferrand,France,45.7867012024,3.1691699028
CFN,Dongloe,Ireland,55.0442008972168,-8.340999603271484
CFR,Caen,France,49.173301696777344,-0.44999998807907104
CFU,Kerkyra/corfu,Greece,39.601898193359375,19.911699295043945
CGN,Cologne,Germany,50.8658981323,7.1427397728
CHQ,Chania,Greece,35.531700134277344,24.149700164794922
CHR,Chateauroux,France,46.860278,1.721111
CIA,Rome,Italy,41.7994,12.5949
CIY,Comiso,Italy,36.994601,14.607182
CKC,Cherkassy,Ukraine,49.41559982299805,31.99530029296875
CKH,Chokurdah,Russia,70.62310028076172,147.90199279785156
CKL,Shchyolkovo,Russia,55.8783,38.061699
CKZ,Canakkale,Turkey,40.1376991272,26.4267997742
CLJ,Cluj-napoca,Romania,46.78519821166992,23.686199188232422
CLY,Calvi,France,42.5244444,8.7930556
CMF,Chambery,France,45.638099670410156,5.880229949951172
CMR,Colmar,France,48.109901428222656,7.359010219573975
CND,Constanta,Romania,44.36220169067383,28.488300323486328
CNG,Cognac,France,45.65829849243164,-0.3174999952316284
CNL,Sindal,Denmark,57.503502,10.2294
